F1B117001;50204732;IPA
F1B117002;50203683;NULL
F1B117003;50203310;IPA
F1B117004;50222551;IPA
F1B117005;50105650;IPA
F1B117006;50220276;Multimedia
F1B117007;50204517;IPA
F1B117008;50200403;Teknik Komputer dan Jaringan
F1B117009;50204729;IPA
F1B117010;50202499;IPA
F1B117011;50202412;IPA
F1B117012;50203683;Multimedia
F1B117013;20539749;Teknik Komputer dan Jaringan
F1B117014;50204513;IPA
F1B117015;50204517;NULL
F1B117016;50204515;NULL
F1B117017;50201393;NULL
F1B117019;50204731;NULL
F1B117021;50202500;NULL
F1B117022;50204732;IPA
F1B117023;50203689;IPA
F1B117024;50204732;IPA
F1B117025;50219620;IPA
F1B117026;50222478;IPA
F1B117027;50222418;IPA
F1B117028;50203686;IPA
F1B117029;50204505;Teknik Instalasi Tenaga Listrik
F1B117030;50204013;IPA
F1B117031;50204512;IPA
F1B117032;50222412;IPA
F1B117033;50219460;NULL
F1B117034;50204512;IPA
F1B117035;50204719;Teknik Komputer dan Jaringan
F1B117036;50202494;Teknik Audio Video
F1B117037;50204505;Teknik Elektronika Industri
F1B117038;50200376;IPA
F1B117039;50203313;IPA
F1B117040;20503421;Multimedia
F1B117041;50204517;IPA
F1B212008;50205416;NULL
F1B212027;50200403;NULL
F1B212028;50205416;NULL
F1B212033;50204505;Teknik Instalasi Tenaga Listrik
F1B212034;50200384;IPS
F1B212038;50205726;Multimedia
F1B212040;50205413;IPA
F1B212041;50200380;IPA
F1B212052;50204517;IPA
F1B212053;50204322;IPA
F1B212054;50205717;IPA
F1B212059;50204505;Multimedia
F1B212066;50200384;IPA
F1B212068;50202496;Multimedia
F1B212073;50200403;Teknik Komputer dan Jaringan
F1B212080;50205632;IPA
F1B212084;50200386;IPA
F1B212090;50222585;IPA
F1B013073;50202499;NULL
F1B013020;50222587;NULL
F1B017042;69725513;IPA
F1B017075;69788190;NULL
